"shoulder","belly","loin","ham","other","simulation","carcass"
625,1604,1116,1302,5050,1,1
604,1570,1081,1308,5059,1,2
7428,20355,14621,17065,64539,1,3
1917,5294,3798,4349,16942,1,4
1916,5299,3749,4376,16734,1,5
610,1687,1251,1511,5393,1,6
7412,20024,14293,17018,64074,1,7
1227,3169,2327,2662,10663,1,8
1221,3490,2471,2844,10795,1,9
1914,5610,4072,4508,17890,1,10
459,1312,869,1033,4087,1,11
6941,19284,13821,15927,61135,1,12
1121,3061,2324,2693,9963,1,13
7502,20076,14424,16687,64374,1,14
636,1726,1311,1465,5574,1,15
1191,3225,2361,2680,10457,1,16
7476,20413,14641,17141,65566,1,17
1107,2923,2077,2471,9540,1,18
544,1563,1224,1303,5062,1,19
626,1575,1130,1380,5153,1,20
536,1489,1000,1202,4581,1,21
1221,3288,2495,2813,10705,1,22
1980,5366,3858,4487,17040,1,23
1307,3342,2328,2815,10312,1,24
559,1591,1150,1318,5065,1,25
576,1548,1113,1388,5103,1,26
6839,18636,13449,15897,59511,1,27
2056,5526,3898,4628,17538,1,28
967,2858,2020,2340,8956,1,29
1622,4621,3269,3761,14683,1,30
1964,5397,3840,4526,17105,1,31
1910,5216,3598,4268,16058,1,32
1086,2924,2096,2548,9458,1,33
1120,3115,2237,2678,10239,1,34
7160,19754,14227,16479,62494,1,35
622,1684,1215,1387,5230,1,36
1140,2967,2136,2526,9664,1,37
1076,3064,2126,2497,9534,1,38
570,1485,998,1193,4513,1,39
7333,19881,14231,16766,63510,1,40
460,1316,928,1069,4178,1,41
1778,5214,3633,4303,16586,1,42
612,1630,1169,1351,5283,1,43
1899,4905,3476,4217,15880,1,44
1009,2896,2049,2422,8925,1,45
2062,5782,4049,4745,18370,1,46
7319,19883,14329,16553,63413,1,47
1818,4843,3557,4181,16216,1,48
1214,3529,2552,2823,10841,1,49
1171,3088,2253,2600,10021,1,50
6868,18695,13384,15679,60211,2,1
1420,3897,2798,3172,12436,2,2
650,1811,1367,1526,5946,2,3
6891,18892,13759,15937,59718,2,4
884,2280,1645,1893,7235,2,5
675,1848,1323,1574,5888,2,6
1675,4510,3168,3767,14113,2,7
7482,20166,14788,16988,65626,2,8
1187,3363,2344,2857,10633,2,9
761,2154,1572,1853,6942,2,10
1432,3830,2661,3190,12124,2,11
1239,3561,2536,3036,11513,2,12
74,190,128,158,609,2,13
41,149,87,95,423,2,14
655,1740,1308,1480,5661,2,15
6688,18179,13086,15470,58975,2,16
26,82,65,52,262,2,17
1379,3770,2664,3216,12047,2,18
1419,4072,2872,3365,12744,2,19
649,1826,1328,1515,5879,2,20
1295,3456,2449,2918,10924,2,21
1295,3519,2536,2916,11106,2,22
1311,3611,2626,3015,11606,2,23
762,2157,1483,1812,6943,2,24
703,1824,1302,1520,5857,2,25
1241,3463,2501,3004,11207,2,26
953,2678,1949,2247,8543,2,27
56,148,88,130,405,2,28
806,2199,1535,1909,7119,2,29
1305,3644,2554,2915,11064,2,30
6719,18524,13264,15615,59433,2,31
1147,3165,2355,2777,10259,2,32
1253,3426,2425,2886,10636,2,33
1436,4032,2779,3362,13012,2,34
6634,17787,13149,15201,58247,2,35
1247,3342,2449,2806,11024,2,36
1257,3617,2540,3067,11516,2,37
48,119,84,107,355,2,38
28,95,58,80,272,2,39
649,1721,1311,1478,5615,2,40
1154,3104,2323,2672,9972,2,41
49,128,116,138,460,2,42
1488,3950,2818,3375,12931,2,43
596,1615,1158,1361,5143,2,44
1401,4081,2818,3352,13016,2,45
1329,3522,2512,2996,11709,2,46
1366,3740,2855,3279,12330,2,47
1303,3751,2652,3076,11868,2,48
667,1890,1335,1509,5974,2,49
1405,4061,2894,3410,12810,2,50
35387,97430,70071,81876,311948,3,1
2415,6482,4623,5458,21030,3,2
2110,5626,3957,4634,17992,3,3
2453,6823,4911,5654,21640,3,4
1706,4598,3279,3835,14716,3,5
779,1986,1444,1716,6502,3,6
1636,4566,3259,3831,14413,3,7
77,220,174,191,664,3,8
1008,2696,2016,2323,8620,3,9
853,2490,1812,2045,8194,3,10
2390,6184,4452,5346,20098,3,11
738,2065,1492,1749,6662,3,12
880,2186,1680,1854,7177,3,13
2177,5939,4342,5021,19105,3,14
847,2298,1682,1995,7462,3,15
2234,6302,4465,5140,19694,3,16
974,2656,1834,2206,8515,3,17
128,396,254,330,1128,3,18
1713,4794,3438,4055,14986,3,19
162,509,354,424,1621,3,20
593,1600,1215,1364,5135,3,21
218,641,423,527,1949,3,22
746,2076,1473,1705,6658,3,23
250,611,433,548,2002,3,24
2302,6367,4724,5328,20654,3,25
734,2028,1407,1726,6487,3,26
1617,4446,3200,3735,14084,3,27
748,2166,1525,1812,6816,3,28
899,2430,1802,2027,7677,3,29
764,2011,1380,1592,6237,3,30
2420,6365,4631,5384,20397,3,31
1006,2735,1917,2344,8631,3,32
110,365,268,327,1238,3,33
157,420,307,351,1315,3,34
884,2406,1708,1977,7610,3,35
1475,4081,2802,3370,12672,3,36
752,2142,1549,1838,6897,3,37
2249,6072,4357,5080,19477,3,38
648,1829,1341,1611,5882,3,39
699,2053,1468,1784,6563,3,40
90,303,200,233,872,3,41
536,1464,1061,1226,4634,3,42
2205,6014,4452,5016,19258,3,43
2240,6198,4428,5242,19563,3,44
1500,4120,2984,3470,13222,3,45
2293,6183,4432,5234,19576,3,46
35650,97661,69945,82020,310486,3,47
2025,5816,4051,4644,18571,3,48
925,2397,1760,2038,7840,3,49
906,2277,1654,2049,7354,3,50
354,990,723,899,3241,4,1
2598,6829,4944,5835,22538,4,2
4458,12576,8963,10546,39395,4,3
2044,5721,4144,4963,18228,4,4
470,1226,906,1055,3999,4,5
435,1188,871,1023,3964,4,6
2551,6796,4904,5714,22234,4,7
4141,11509,8409,9717,36797,4,8
45,119,80,115,347,4,9
4405,11955,8756,10123,38067,4,10
3232,8856,6362,7434,28152,4,11
1966,5333,3838,4597,17366,4,12
2816,7705,5658,6560,25067,4,13
3270,8744,6090,7267,27745,4,14
32512,89212,64273,75164,285411,4,15
2882,7966,5824,6629,25198,4,16
31905,87361,63014,73875,280087,4,17
1897,5217,3700,4289,16406,4,18
4750,13047,9356,10668,40674,4,19
3346,8957,6283,7434,28438,4,20
3360,9045,6364,7595,28679,4,21
4346,11862,8265,9952,37801,4,22
4416,11752,8399,9960,37631,4,23
468,1239,872,1035,4145,4,24
32734,89834,64132,75242,285976,4,25
477,1306,888,1019,4006,4,26
290,754,605,660,2562,4,27
495,1530,1085,1304,4805,4,28
14,39,30,38,126,4,29
3005,8104,5809,6727,25514,4,30
3199,8621,6141,7251,27673,4,31
32369,89525,64113,75413,286456,4,32
4103,11218,8194,9424,35955,4,33
466,1251,972,1107,4184,4,34
32730,89713,64028,75583,285729,4,35
3233,8647,6411,7401,28227,4,36
2978,8190,5880,6927,26052,4,37
2620,7175,5093,6129,23065,4,38
2367,6671,4595,5634,21199,4,39
40,102,64,61,312,4,40
3137,8575,6239,7087,27246,4,41
2552,6938,4902,5790,22067,4,42
4314,11850,8494,10096,37818,4,43
35,69,63,77,247,4,44
510,1369,1013,1185,4421,4,45
3387,9488,6754,7961,29674,4,46
4254,11770,8484,9748,37643,4,47
26,70,42,74,245,4,48
17,52,38,36,155,4,49
3251,8699,6425,7425,28004,4,50
402,1079,869,979,3629,5,1
360,982,711,823,3147,5,2
181,516,361,432,1652,5,3
382,987,721,829,3049,5,4
254,780,547,687,2507,5,5
392,1116,755,896,3328,5,6
1614,4489,3265,3812,14157,5,7
261,700,473,584,2141,5,8
402,1133,815,1044,3718,5,9
492,1429,1021,1233,4465,5,10
362,1020,655,805,3077,5,11
1559,4231,2967,3524,13284,5,12
212,576,380,494,1745,5,13
370,843,608,766,2685,5,14
164,430,334,346,1417,5,15
