"part","simulation","carcass","n_zeros"
"belly",1,1,0
"belly",1,2,0
"belly",1,3,0
"belly",1,4,0
"belly",1,5,0
"belly",1,6,0
"belly",1,7,0
"belly",1,8,0
"belly",1,9,0
"belly",1,10,0
"belly",1,11,0
"belly",1,12,0
"belly",1,13,0
"belly",1,14,0
"belly",1,15,0
"belly",1,16,0
"belly",1,17,0
"belly",1,18,0
"belly",1,19,0
"belly",1,20,0
"belly",1,21,0
"belly",1,22,0
"belly",1,23,0
"belly",1,24,0
"belly",1,25,0
"belly",1,26,0
"belly",1,27,0
"belly",1,28,0
"belly",1,29,0
"belly",1,30,0
"belly",1,31,0
"belly",1,32,0
"belly",1,33,0
"belly",1,34,0
"belly",1,35,0
"belly",1,36,0
"belly",1,37,0
"belly",1,38,0
"belly",1,39,0
"belly",1,40,0
"belly",1,41,0
"belly",1,42,0
"belly",1,43,0
"belly",1,44,0
"belly",1,45,0
"belly",1,46,0
"belly",1,47,0
"belly",1,48,0
"belly",1,49,0
"belly",1,50,0
"belly",2,1,0
"belly",2,2,0
"belly",2,3,0
"belly",2,4,0
"belly",2,5,0
"belly",2,6,0
"belly",2,7,0
"belly",2,8,0
"belly",2,9,0
"belly",2,10,0
"belly",2,11,0
"belly",2,12,0
"belly",2,13,5
"belly",2,14,10
"belly",2,15,0
"belly",2,16,0
"belly",2,17,27
"belly",2,18,0
"belly",2,19,0
"belly",2,20,0
"belly",2,21,0
"belly",2,22,0
"belly",2,23,0
"belly",2,24,0
"belly",2,25,0
"belly",2,26,0
"belly",2,27,0
"belly",2,28,9
"belly",2,29,0
"belly",2,30,0
"belly",2,31,0
"belly",2,32,0
"belly",2,33,0
"belly",2,34,0
"belly",2,35,0
"belly",2,36,0
"belly",2,37,0
"belly",2,38,24
"belly",2,39,26
"belly",2,40,0
"belly",2,41,0
"belly",2,42,11
"belly",2,43,0
"belly",2,44,0
"belly",2,45,0
"belly",2,46,0
"belly",2,47,0
"belly",2,48,0
"belly",2,49,0
"belly",2,50,0
"belly",3,1,0
"belly",3,2,0
"belly",3,3,0
"belly",3,4,0
"belly",3,5,0
"belly",3,6,0
"belly",3,7,0
"belly",3,8,6
"belly",3,9,0
"belly",3,10,0
"belly",3,11,0
"belly",3,12,0
"belly",3,13,0
"belly",3,14,0
"belly",3,15,0
"belly",3,16,0
"belly",3,17,0
"belly",3,18,0
"belly",3,19,0
"belly",3,20,0
"belly",3,21,0
"belly",3,22,0
"belly",3,23,0
"belly",3,24,0
"belly",3,25,0
"belly",3,26,0
"belly",3,27,0
"belly",3,28,0
"belly",3,29,0
"belly",3,30,0
"belly",3,31,0
"belly",3,32,0
"belly",3,33,1
"belly",3,34,1
"belly",3,35,0
"belly",3,36,0
"belly",3,37,0
"belly",3,38,0
"belly",3,39,0
"belly",3,40,0
"belly",3,41,2
"belly",3,42,0
"belly",3,43,0
"belly",3,44,0
"belly",3,45,0
"belly",3,46,0
"belly",3,47,0
"belly",3,48,0
"belly",3,49,0
"belly",3,50,0
"belly",4,1,0
"belly",4,2,0
"belly",4,3,0
"belly",4,4,0
"belly",4,5,0
"belly",4,6,0
"belly",4,7,0
"belly",4,8,0
"belly",4,9,16
"belly",4,10,0
"belly",4,11,0
"belly",4,12,0
"belly",4,13,0
"belly",4,14,0
"belly",4,15,0
"belly",4,16,0
"belly",4,17,0
"belly",4,18,0
"belly",4,19,0
"belly",4,20,0
"belly",4,21,0
"belly",4,22,0
"belly",4,23,0
"belly",4,24,0
"belly",4,25,0
"belly",4,26,0
"belly",4,27,0
"belly",4,28,0
"belly",4,29,48
"belly",4,30,0
"belly",4,31,0
"belly",4,32,0
"belly",4,33,0
"belly",4,34,0
"belly",4,35,0
"belly",4,36,0
"belly",4,37,0
"belly",4,38,0
"belly",4,39,0
"belly",4,40,25
"belly",4,41,0
"belly",4,42,0
"belly",4,43,0
"belly",4,44,36
"belly",4,45,0
"belly",4,46,0
"belly",4,47,0
"belly",4,48,34
"belly",4,49,40
"belly",4,50,0
"belly",5,1,0
"belly",5,2,0
"belly",5,3,0
"belly",5,4,0
"belly",5,5,0
"belly",5,6,0
"belly",5,7,0
"belly",5,8,0
"belly",5,9,0
"belly",5,10,0
"belly",5,11,0
"belly",5,12,0
"belly",5,13,0
"belly",5,14,0
"belly",5,15,0
"belly",5,16,0
"belly",5,17,0
"belly",5,18,0
"belly",5,19,0
"belly",5,20,0
"belly",5,21,0
"belly",5,22,0
"belly",5,23,0
"belly",5,24,0
"belly",5,25,0
"belly",5,26,0
"belly",5,27,0
"belly",5,28,0
"belly",5,29,0
"belly",5,30,0
"belly",5,31,0
"belly",5,32,0
"belly",5,33,0
"belly",5,34,0
"belly",5,35,0
"belly",5,36,0
"belly",5,37,0
"belly",5,38,1
"belly",5,39,0
"belly",5,40,1
"belly",5,41,0
"belly",5,42,0
"belly",5,43,0
"belly",5,44,0
"belly",5,45,0
"belly",5,46,0
"belly",5,47,0
"belly",5,48,0
"belly",5,49,0
"belly",5,50,0
"belly",6,1,0
"belly",6,2,2
"belly",6,3,0
"belly",6,4,3
"belly",6,5,1
