"part","simulation","carcass","n_zeros"
"shoulder",1,1,0
"shoulder",1,2,0
"shoulder",1,3,0
"shoulder",1,4,0
"shoulder",1,5,0
"shoulder",1,6,0
"shoulder",1,7,0
"shoulder",1,8,0
"shoulder",1,9,0
"shoulder",1,10,0
"shoulder",1,11,0
"shoulder",1,12,0
"shoulder",1,13,0
"shoulder",1,14,0
"shoulder",1,15,0
"shoulder",1,16,0
"shoulder",1,17,0
"shoulder",1,18,0
"shoulder",1,19,0
"shoulder",1,20,0
"shoulder",1,21,0
"shoulder",1,22,0
"shoulder",1,23,0
"shoulder",1,24,0
"shoulder",1,25,0
"shoulder",1,26,0
"shoulder",1,27,0
"shoulder",1,28,0
"shoulder",1,29,0
"shoulder",1,30,0
"shoulder",1,31,0
"shoulder",1,32,0
"shoulder",1,33,0
"shoulder",1,34,0
"shoulder",1,35,0
"shoulder",1,36,0
"shoulder",1,37,0
"shoulder",1,38,0
"shoulder",1,39,0
"shoulder",1,40,0
"shoulder",1,41,0
"shoulder",1,42,0
"shoulder",1,43,0
"shoulder",1,44,0
"shoulder",1,45,0
"shoulder",1,46,0
"shoulder",1,47,0
"shoulder",1,48,0
"shoulder",1,49,0
"shoulder",1,50,0
"shoulder",2,1,0
"shoulder",2,2,0
"shoulder",2,3,0
"shoulder",2,4,0
"shoulder",2,5,0
"shoulder",2,6,0
"shoulder",2,7,0
"shoulder",2,8,0
"shoulder",2,9,0
"shoulder",2,10,0
"shoulder",2,11,0
"shoulder",2,12,0
"shoulder",2,13,17
"shoulder",2,14,22
"shoulder",2,15,0
"shoulder",2,16,0
"shoulder",2,17,29
"shoulder",2,18,0
"shoulder",2,19,0
"shoulder",2,20,0
"shoulder",2,21,0
"shoulder",2,22,0
"shoulder",2,23,0
"shoulder",2,24,0
"shoulder",2,25,0
"shoulder",2,26,0
"shoulder",2,27,0
"shoulder",2,28,17
"shoulder",2,29,0
"shoulder",2,30,0
"shoulder",2,31,0
"shoulder",2,32,0
"shoulder",2,33,0
"shoulder",2,34,0
"shoulder",2,35,0
"shoulder",2,36,0
"shoulder",2,37,0
"shoulder",2,38,19
"shoulder",2,39,29
"shoulder",2,40,0
"shoulder",2,41,0
"shoulder",2,42,20
"shoulder",2,43,0
"shoulder",2,44,0
"shoulder",2,45,0
"shoulder",2,46,0
"shoulder",2,47,0
"shoulder",2,48,0
"shoulder",2,49,0
"shoulder",2,50,0
"shoulder",3,1,0
"shoulder",3,2,0
"shoulder",3,3,0
"shoulder",3,4,0
"shoulder",3,5,0
"shoulder",3,6,0
"shoulder",3,7,0
"shoulder",3,8,12
"shoulder",3,9,0
"shoulder",3,10,0
"shoulder",3,11,0
"shoulder",3,12,0
"shoulder",3,13,0
"shoulder",3,14,0
"shoulder",3,15,0
"shoulder",3,16,0
"shoulder",3,17,0
"shoulder",3,18,4
"shoulder",3,19,0
"shoulder",3,20,2
"shoulder",3,21,0
"shoulder",3,22,1
"shoulder",3,23,0
"shoulder",3,24,1
"shoulder",3,25,0
"shoulder",3,26,0
"shoulder",3,27,0
"shoulder",3,28,0
"shoulder",3,29,0
"shoulder",3,30,0
"shoulder",3,31,0
"shoulder",3,32,0
"shoulder",3,33,8
"shoulder",3,34,2
"shoulder",3,35,0
"shoulder",3,36,0
"shoulder",3,37,0
"shoulder",3,38,0
"shoulder",3,39,0
"shoulder",3,40,0
"shoulder",3,41,7
"shoulder",3,42,0
"shoulder",3,43,0
"shoulder",3,44,0
"shoulder",3,45,0
"shoulder",3,46,0
"shoulder",3,47,0
"shoulder",3,48,0
"shoulder",3,49,0
"shoulder",3,50,0
"shoulder",4,1,0
"shoulder",4,2,0
"shoulder",4,3,0
"shoulder",4,4,0
"shoulder",4,5,0
"shoulder",4,6,0
"shoulder",4,7,0
"shoulder",4,8,0
"shoulder",4,9,21
"shoulder",4,10,0
"shoulder",4,11,0
"shoulder",4,12,0
"shoulder",4,13,0
"shoulder",4,14,0
"shoulder",4,15,0
"shoulder",4,16,0
"shoulder",4,17,0
"shoulder",4,18,0
"shoulder",4,19,0
"shoulder",4,20,0
"shoulder",4,21,0
"shoulder",4,22,0
"shoulder",4,23,0
"shoulder",4,24,0
"shoulder",4,25,0
"shoulder",4,26,0
"shoulder",4,27,0
"shoulder",4,28,0
"shoulder",4,29,33
"shoulder",4,30,0
"shoulder",4,31,0
"shoulder",4,32,0
"shoulder",4,33,0
"shoulder",4,34,0
"shoulder",4,35,0
"shoulder",4,36,0
"shoulder",4,37,0
"shoulder",4,38,0
"shoulder",4,39,0
"shoulder",4,40,23
"shoulder",4,41,0
"shoulder",4,42,0
"shoulder",4,43,0
"shoulder",4,44,25
"shoulder",4,45,0
"shoulder",4,46,0
"shoulder",4,47,0
"shoulder",4,48,30
"shoulder",4,49,33
"shoulder",4,50,0
"shoulder",5,1,0
"shoulder",5,2,0
"shoulder",5,3,1
"shoulder",5,4,0
"shoulder",5,5,1
"shoulder",5,6,0
"shoulder",5,7,0
"shoulder",5,8,0
"shoulder",5,9,0
"shoulder",5,10,0
"shoulder",5,11,0
"shoulder",5,12,0
"shoulder",5,13,0
"shoulder",5,14,0
"shoulder",5,15,3
"shoulder",5,16,3
"shoulder",5,17,0
"shoulder",5,18,0
"shoulder",5,19,0
"shoulder",5,20,0
"shoulder",5,21,0
"shoulder",5,22,0
"shoulder",5,23,3
"shoulder",5,24,0
"shoulder",5,25,0
"shoulder",5,26,0
"shoulder",5,27,0
