"part","simulation","carcass","n_zeros","n_zeros_after_cooking"
"shoulder",1,1,0,33
"shoulder",1,2,0,32
"shoulder",1,3,0,0
"shoulder",1,4,0,32
"shoulder",1,5,0,28
"shoulder",1,6,0,31
"shoulder",1,7,0,0
"shoulder",1,8,0,29
"shoulder",1,9,0,34
"shoulder",1,10,0,30
"shoulder",1,11,0,31
"shoulder",1,12,0,0
"shoulder",1,13,0,32
"shoulder",1,14,0,0
"shoulder",1,15,0,33
"shoulder",1,16,0,31
"shoulder",1,17,0,0
"shoulder",1,18,0,30
"shoulder",1,19,0,32
"shoulder",1,20,0,31
"shoulder",1,21,0,35
"shoulder",1,22,0,31
"shoulder",1,23,0,31
"shoulder",1,24,0,31
"shoulder",1,25,0,35
"shoulder",1,26,0,33
"shoulder",1,27,0,0
"shoulder",1,28,0,33
"shoulder",1,29,0,31
"shoulder",1,30,0,31
"shoulder",1,31,0,32
"shoulder",1,32,0,32
"shoulder",1,33,0,34
"shoulder",1,34,0,29
"shoulder",1,35,0,0
"shoulder",1,36,0,35
"shoulder",1,37,0,31
"shoulder",1,38,0,30
"shoulder",1,39,0,33
"shoulder",1,40,0,0
"shoulder",1,41,0,29
"shoulder",1,42,0,30
"shoulder",1,43,0,33
"shoulder",1,44,0,34
"shoulder",1,45,0,31
"shoulder",1,46,0,31
"shoulder",1,47,0,0
"shoulder",1,48,0,32
"shoulder",1,49,0,31
"shoulder",1,50,0,26
"shoulder",2,1,0,0
"shoulder",2,2,0,32
"shoulder",2,3,0,32
"shoulder",2,4,0,0
"shoulder",2,5,0,34
"shoulder",2,6,0,32
"shoulder",2,7,0,31
"shoulder",2,8,0,0
"shoulder",2,9,0,33
"shoulder",2,10,0,32
"shoulder",2,11,0,30
"shoulder",2,12,0,30
"shoulder",2,13,17,18
"shoulder",2,14,22,13
"shoulder",2,15,0,25
"shoulder",2,16,0,0
"shoulder",2,17,29,6
"shoulder",2,18,0,27
"shoulder",2,19,0,31
"shoulder",2,20,0,31
"shoulder",2,21,0,32
"shoulder",2,22,0,29
"shoulder",2,23,0,35
"shoulder",2,24,0,34
"shoulder",2,25,0,34
"shoulder",2,26,0,34
"shoulder",2,27,0,34
"shoulder",2,28,17,18
"shoulder",2,29,0,34
"shoulder",2,30,0,32
"shoulder",2,31,0,0
"shoulder",2,32,0,32
"shoulder",2,33,0,31
"shoulder",2,34,0,33
"shoulder",2,35,0,0
"shoulder",2,36,0,33
"shoulder",2,37,0,31
"shoulder",2,38,19,16
"shoulder",2,39,29,6
"shoulder",2,40,0,35
"shoulder",2,41,0,33
"shoulder",2,42,20,15
"shoulder",2,43,0,34
"shoulder",2,44,0,32
"shoulder",2,45,0,35
"shoulder",2,46,0,31
"shoulder",2,47,0,32
"shoulder",2,48,0,31
"shoulder",2,49,0,32
"shoulder",2,50,0,32
"shoulder",3,1,0,0
"shoulder",3,2,0,32
"shoulder",3,3,0,31
"shoulder",3,4,0,32
"shoulder",3,5,0,33
"shoulder",3,6,0,32
"shoulder",3,7,0,32
"shoulder",3,8,12,23
"shoulder",3,9,0,33
"shoulder",3,10,0,30
"shoulder",3,11,0,35
"shoulder",3,12,0,32
"shoulder",3,13,0,31
"shoulder",3,14,0,29
"shoulder",3,15,0,34
"shoulder",3,16,0,32
"shoulder",3,17,0,32
"shoulder",3,18,4,31
"shoulder",3,19,0,31
"shoulder",3,20,2,33
"shoulder",3,21,0,30
"shoulder",3,22,1,34
"shoulder",3,23,0,30
"shoulder",3,24,1,34
"shoulder",3,25,0,32
"shoulder",3,26,0,33
"shoulder",3,27,0,33
"shoulder",3,28,0,31
"shoulder",3,29,0,32
"shoulder",3,30,0,28
"shoulder",3,31,0,33
"shoulder",3,32,0,32
"shoulder",3,33,8,27
"shoulder",3,34,2,33
"shoulder",3,35,0,29
"shoulder",3,36,0,33
"shoulder",3,37,0,31
"shoulder",3,38,0,33
"shoulder",3,39,0,33
"shoulder",3,40,0,31
"shoulder",3,41,7,28
"shoulder",3,42,0,27
"shoulder",3,43,0,33
"shoulder",3,44,0,33
"shoulder",3,45,0,33
"shoulder",3,46,0,31
"shoulder",3,47,0,0
"shoulder",3,48,0,31
"shoulder",3,49,0,34
"shoulder",3,50,0,32
"shoulder",4,1,0,32
"shoulder",4,2,0,35
"shoulder",4,3,0,18
"shoulder",4,4,0,31
"shoulder",4,5,0,33
"shoulder",4,6,0,33
"shoulder",4,7,0,32
"shoulder",4,8,0,32
"shoulder",4,9,21,14
"shoulder",4,10,0,20
"shoulder",4,11,0,32
"shoulder",4,12,0,31
"shoulder",4,13,0,30
"shoulder",4,14,0,34
"shoulder",4,15,0,0
"shoulder",4,16,0,33
"shoulder",4,17,0,0
"shoulder",4,18,0,34
"shoulder",4,19,0,12
"shoulder",4,20,0,30
"shoulder",4,21,0,35
"shoulder",4,22,0,23
"shoulder",4,23,0,22
"shoulder",4,24,0,34
"shoulder",4,25,0,0
"shoulder",4,26,0,32
"shoulder",4,27,0,33
"shoulder",4,28,0,32
"shoulder",4,29,33,2
"shoulder",4,30,0,34
"shoulder",4,31,0,32
"shoulder",4,32,0,0
"shoulder",4,33,0,30
"shoulder",4,34,0,35
"shoulder",4,35,0,0
"shoulder",4,36,0,32
"shoulder",4,37,0,29
"shoulder",4,38,0,31
"shoulder",4,39,0,31
"shoulder",4,40,23,12
"shoulder",4,41,0,32
"shoulder",4,42,0,31
"shoulder",4,43,0,22
"shoulder",4,44,25,10
"shoulder",4,45,0,34
"shoulder",4,46,0,28
"shoulder",4,47,0,26
"shoulder",4,48,30,5
"shoulder",4,49,33,2
"shoulder",4,50,0,33
"shoulder",5,1,0,31
"shoulder",5,2,0,33
"shoulder",5,3,1,34
"shoulder",5,4,0,34
"shoulder",5,5,1,34
"shoulder",5,6,0,34
"shoulder",5,7,0,30
"shoulder",5,8,0,35
"shoulder",5,9,0,33
"shoulder",5,10,0,34
"shoulder",5,11,0,32
"shoulder",5,12,0,33
"shoulder",5,13,0,35
"shoulder",5,14,0,34
"shoulder",5,15,3,32
"shoulder",5,16,3,32
"shoulder",5,17,0,31
"shoulder",5,18,0,34
"shoulder",5,19,0,29
"shoulder",5,20,0,35
"shoulder",5,21,0,34
"shoulder",5,22,0,33
"shoulder",5,23,3,32
"shoulder",5,24,0,34
"shoulder",5,25,0,35
"shoulder",5,26,0,33
"shoulder",5,27,0,35
"shoulder",5,28,0,32
"shoulder",5,29,0,32
"shoulder",5,30,0,33
"shoulder",5,31,0,35
"shoulder",5,32,0,35
"shoulder",5,33,7,28
"shoulder",5,34,0,33
"shoulder",5,35,0,31
"shoulder",5,36,0,34
"shoulder",5,37,0,33
"shoulder",5,38,4,31
"shoulder",5,39,0,34
"shoulder",5,40,3,32
"shoulder",5,41,0,34
"shoulder",5,42,0,30
"shoulder",5,43,0,34
"shoulder",5,44,3,32
"shoulder",5,45,1,34
"shoulder",5,46,0,32
"shoulder",5,47,0,35
"shoulder",5,48,0,33
"shoulder",5,49,0,34
"shoulder",5,50,0,35
"shoulder",6,1,0,27
"shoulder",6,2,10,25
"shoulder",6,3,0,32
"shoulder",6,4,10,25
"shoulder",6,5,4,31
"shoulder",6,6,0,33
"shoulder",6,7,0,29
"shoulder",6,8,0,0
"shoulder",6,9,0,31
"shoulder",6,10,2,32
"shoulder",6,11,0,0
"shoulder",6,12,0,0
"shoulder",6,13,0,33
"shoulder",6,14,0,31
"shoulder",6,15,0,33
"shoulder",6,16,0,31
"shoulder",6,17,0,0
"shoulder",6,18,1,34
"shoulder",6,19,17,18
"shoulder",6,20,0,31
"shoulder",6,21,0,0
"shoulder",6,22,0,31
"shoulder",6,23,0,35
"shoulder",6,24,18,17
"shoulder",6,25,0,31
"shoulder",6,26,0,0
"shoulder",6,27,0,35
"shoulder",6,28,0,33
"shoulder",6,29,0,35
"shoulder",6,30,0,32
"shoulder",6,31,0,33
"shoulder",6,32,0,33
"shoulder",6,33,0,33
"shoulder",6,34,0,0
"shoulder",6,35,0,32
"shoulder",6,36,0,32
"shoulder",6,37,0,0
"shoulder",6,38,0,30
"shoulder",6,39,0,34
"shoulder",6,40,0,31
"shoulder",6,41,0,31
"shoulder",6,42,0,30
"shoulder",6,43,0,33
"shoulder",6,44,0,30
"shoulder",6,45,0,34
"shoulder",6,46,0,0
"shoulder",6,47,0,34
"shoulder",6,48,0,34
"shoulder",6,49,0,33
"shoulder",6,50,0,32
"shoulder",7,1,0,34
"shoulder",7,2,0,35
"shoulder",7,3,0,33
"shoulder",7,4,0,35
"shoulder",7,5,0,32
"shoulder",7,6,0,34
"shoulder",7,7,1,34
"shoulder",7,8,0,27
"shoulder",7,9,0,32
"shoulder",7,10,0,30
"shoulder",7,11,0,29
"shoulder",7,12,0,31
"shoulder",7,13,0,32
"shoulder",7,14,0,33
"shoulder",7,15,0,29
"shoulder",7,16,0,32
"shoulder",7,17,0,31
"shoulder",7,18,0,29
"shoulder",7,19,0,35
"shoulder",7,20,0,35
"shoulder",7,21,0,30
"shoulder",7,22,0,31
"shoulder",7,23,0,33
"shoulder",7,24,0,27
"shoulder",7,25,1,33
"shoulder",7,26,0,31
"shoulder",7,27,0,29
"shoulder",7,28,0,29
"shoulder",7,29,0,27
"shoulder",7,30,0,29
"shoulder",7,31,0,32
"shoulder",7,32,0,31
"shoulder",7,33,0,33
"shoulder",7,34,0,30
"shoulder",7,35,0,34
"shoulder",7,36,0,31
"shoulder",7,37,0,34
"shoulder",7,38,0,31
"shoulder",7,39,0,32
"shoulder",7,40,0,28
"shoulder",7,41,0,33
"shoulder",7,42,0,32
"shoulder",7,43,0,33
"shoulder",7,44,0,35
"shoulder",7,45,0,34
"shoulder",7,46,0,29
"shoulder",7,47,0,30
"shoulder",7,48,0,33
"shoulder",7,49,0,33
"shoulder",7,50,0,33
"shoulder",8,1,0,0
"shoulder",8,2,0,32
"shoulder",8,3,0,30
"shoulder",8,4,0,0
"shoulder",8,5,0,32
"shoulder",8,6,3,32
"shoulder",8,7,0,0
"shoulder",8,8,0,0
"shoulder",8,9,0,31
"shoulder",8,10,0,0
"shoulder",8,11,0,0
"shoulder",8,12,0,1
"shoulder",8,13,0,31
"shoulder",8,14,0,30
"shoulder",8,15,0,30
"shoulder",8,16,0,0
"shoulder",8,17,0,33
"shoulder",8,18,0,34
"shoulder",8,19,0,0
"shoulder",8,20,0,29
"shoulder",8,21,0,33
"shoulder",8,22,5,30
"shoulder",8,23,0,31
"shoulder",8,24,0,32
"shoulder",8,25,0,31
