"simulation","carcass","part","larvae_per_part","portions_per_part","portion","larvae_per_portion","is_welldone","larvae_rare","larvae_welldone","larvae_medium","larvae_after_cooking","p_surv_larva","p_ill"
1,1,"shoulder",625,35,7,14,0,13,0,8,8,3.50623458270041e-08,1.53210777398272e-14
1,1,"shoulder",625,35,31,20,0,18,0,12,12,0.236171969195596,0.51107077236859
1,1,"belly",1604,54,15,28,0,26,0,17,17,0.0997213957803979,0.278699733970948
1,1,"belly",1604,54,22,40,0,36,0,23,23,0.0113428366087632,0.0121482864534628
1,1,"belly",1604,54,28,31,0,28,0,18,18,0.0247142401653516,0.0322856982606877
1,1,"belly",1604,54,32,28,0,26,0,17,17,0.0602675959126511,0.133691743018504
1,1,"belly",1604,54,36,32,0,29,0,19,19,0.0599839457081469,0.157888597907028
1,1,"belly",1604,54,44,30,0,27,0,17,17,0.140397478657107,0.422949157310074
1,1,"belly",1604,54,51,25,0,23,0,15,15,0.866835993813795,0.98908404737432
1,1,"belly",1604,54,52,26,0,24,0,15,15,0.127743778177519,0.326920656057703
1,1,"loin",1116,144,1,11,0,10,0,6,6,0.0407455059669388,0.00963742999868655
1,1,"loin",1116,144,12,10,0,9,0,6,6,0.127743778177519,0.079378137027252
1,1,"loin",1116,144,43,11,0,10,0,6,6,0.0812549086954584,0.0353094973179788
1,1,"loin",1116,144,44,10,0,9,0,6,6,0.0664255779616464,0.0243180650178133
1,1,"loin",1116,144,46,7,0,6,0,4,4,0.0102814296051581,0.000263653238755546
1,1,"loin",1116,144,50,10,0,9,0,6,6,0.0476732553663345,0.0130100959112264
1,1,"loin",1116,144,55,10,0,9,0,6,6,0.119997853100368,0.0711621534953547
1,1,"loin",1116,144,69,10,0,9,0,6,6,1.11120291535641e-41,0
1,1,"loin",1116,144,70,7,0,6,0,4,4,0.644403580050616,0.501750645519648
1,1,"loin",1116,144,75,10,0,9,0,6,6,0.000432100882528397,1.17526423748515e-06
1,1,"loin",1116,144,76,7,0,6,0,4,4,0.0242346188154541,0.00144442937262645
1,1,"loin",1116,144,85,7,0,6,0,4,4,0.014568967157882,0.000527123296531151
1,1,"loin",1116,144,124,5,0,5,0,3,3,0.00519188520445318,3.3875977714537e-05
1,1,"loin",1116,144,128,7,0,6,0,4,4,0.0342528098790724,0.00285636548899759
1,1,"loin",1116,144,139,7,0,6,0,4,4,0.3820962704258,0.24336017375541
1,1,"loin",1116,144,143,7,0,6,0,4,4,0.0908015021782805,0.0189416873744992
1,1,"ham",1302,121,2,13,0,12,0,8,8,7.29900519162175e-312,0
1,1,"ham",1302,121,10,5,0,5,0,3,3,0.687583766463664,0.390897931556893
1,1,"ham",1302,121,20,9,0,8,0,5,5,0.00165219479116703,1.14365545661466e-05
1,1,"ham",1302,121,36,13,0,12,0,8,8,0.01624649699472,0.00295636141591349
1,1,"ham",1302,121,49,10,0,9,0,6,6,0.356816412534783,0.385527406212752
1,1,"ham",1302,121,53,9,0,8,0,5,5,1.49530863173734e-07,9.45910016980633e-14
1,1,"ham",1302,121,63,12,0,11,0,7,7,0.0621771962934033,0.0291752731617071
1,1,"ham",1302,121,67,9,0,8,0,5,5,0.0394771370263589,0.00616692199221891
1,1,"ham",1302,121,71,4,0,4,0,3,3,0.00789224691107948,7.81726262925053e-05
1,1,"ham",1302,121,78,10,0,9,0,6,6,0.229095957657838,0.207202660771383
1,1,"ham",1302,121,91,11,0,10,0,6,6,0.292011359381477,0.295440311075138
