"simulation","carcass","part","larvae_per_part","portions_per_part","portion","larvae_per_portion","is_welldone","larvae_rare","larvae_welldone","larvae_medium","larvae_after_cooking"
1,1,"shoulder",625,35,7,14,0,13,0,8,8
1,1,"shoulder",625,35,31,20,0,18,0,12,12
1,1,"belly",1604,54,15,28,0,26,0,17,17
1,1,"belly",1604,54,22,40,0,36,0,23,23
1,1,"belly",1604,54,28,31,0,28,0,18,18
1,1,"belly",1604,54,32,28,0,26,0,17,17
1,1,"belly",1604,54,36,32,0,29,0,19,19
1,1,"belly",1604,54,44,30,0,27,0,17,17
1,1,"belly",1604,54,51,25,0,23,0,15,15
1,1,"belly",1604,54,52,26,0,24,0,15,15
1,1,"loin",1116,144,1,11,0,10,0,6,6
1,1,"loin",1116,144,12,10,0,9,0,6,6
1,1,"loin",1116,144,43,11,0,10,0,6,6
1,1,"loin",1116,144,44,10,0,9,0,6,6
1,1,"loin",1116,144,46,7,0,6,0,4,4
1,1,"loin",1116,144,50,10,0,9,0,6,6
1,1,"loin",1116,144,55,10,0,9,0,6,6
1,1,"loin",1116,144,69,10,0,9,0,6,6
1,1,"loin",1116,144,70,7,0,6,0,4,4
1,1,"loin",1116,144,75,10,0,9,0,6,6
1,1,"loin",1116,144,76,7,0,6,0,4,4
1,1,"loin",1116,144,85,7,0,6,0,4,4
1,1,"loin",1116,144,124,5,0,5,0,3,3
1,1,"loin",1116,144,128,7,0,6,0,4,4
1,1,"loin",1116,144,139,7,0,6,0,4,4
1,1,"loin",1116,144,143,7,0,6,0,4,4
1,1,"ham",1302,121,2,13,0,12,0,8,8
1,1,"ham",1302,121,10,5,0,5,0,3,3
1,1,"ham",1302,121,20,9,0,8,0,5,5
1,1,"ham",1302,121,36,13,0,12,0,8,8
1,1,"ham",1302,121,49,10,0,9,0,6,6
1,1,"ham",1302,121,53,9,0,8,0,5,5
1,1,"ham",1302,121,63,12,0,11,0,7,7
1,1,"ham",1302,121,67,9,0,8,0,5,5
1,1,"ham",1302,121,71,4,0,4,0,3,3
1,1,"ham",1302,121,78,10,0,9,0,6,6
1,1,"ham",1302,121,91,11,0,10,0,6,6
1,1,"ham",1302,121,95,18,0,16,0,10,10
1,1,"ham",1302,121,104,11,0,10,0,6,6
1,1,"ham",1302,121,105,12,0,11,0,7,7
1,1,"ham",1302,121,108,11,0,10,0,6,6
1,1,"other",5050,48,9,75,0,68,0,44,44
1,1,"other",5050,48,19,112,0,102,0,66,66
1,1,"other",5050,48,31,117,0,107,0,69,69
1,1,"other",5050,48,44,112,0,102,0,66,66
1,2,"shoulder",604,35,1,16,0,15,0,10,10
1,2,"shoulder",604,35,4,19,0,17,0,11,11
1,2,"shoulder",604,35,16,16,0,15,0,10,10
1,2,"belly",1570,54,1,35,0,32,0,21,21
1,2,"belly",1570,54,2,32,0,29,0,19,19
1,2,"belly",1570,54,13,21,0,19,0,12,12
1,2,"belly",1570,54,18,31,0,28,0,18,18
1,2,"belly",1570,54,22,27,0,25,0,16,16
1,2,"belly",1570,54,23,38,0,35,0,22,22
1,2,"belly",1570,54,26,25,0,23,0,15,15
1,2,"belly",1570,54,27,21,0,19,0,12,12
1,2,"belly",1570,54,29,35,0,32,0,21,21
1,2,"belly",1570,54,43,32,0,29,0,19,19
1,2,"belly",1570,54,48,25,0,23,0,15,15
1,2,"loin",1081,144,5,15,0,14,0,9,9
1,2,"loin",1081,144,7,9,0,8,0,5,5
1,2,"loin",1081,144,19,15,0,14,0,9,9
1,2,"loin",1081,144,34,10,0,9,0,6,6
1,2,"loin",1081,144,39,7,0,6,0,4,4
1,2,"loin",1081,144,47,8,0,7,0,4,4
1,2,"loin",1081,144,48,9,0,8,0,5,5
1,2,"loin",1081,144,71,3,0,3,0,2,2
1,2,"loin",1081,144,78,8,0,7,0,4,4
1,2,"loin",1081,144,86,10,0,9,0,6,6
1,2,"loin",1081,144,88,6,0,5,0,3,3
1,2,"loin",1081,144,119,9,0,8,0,5,5
1,2,"loin",1081,144,120,11,0,10,0,6,6
1,2,"loin",1081,144,121,7,0,6,0,4,4
1,2,"loin",1081,144,129,9,0,8,0,5,5
1,2,"loin",1081,144,133,9,0,8,0,5,5
1,2,"loin",1081,144,134,5,0,5,0,3,3
1,2,"loin",1081,144,138,6,0,5,0,3,3
1,2,"loin",1081,144,139,4,0,4,0,3,3
1,2,"loin",1081,144,143,10,0,9,0,6,6
1,2,"ham",1308,121,10,13,0,12,0,8,8
