"simulation","carcass","part","larvae_per_part","portions_per_part","portion","larvae_per_portion","is_welldone","larvae_rare","larvae_welldone","larvae_medium","larvae_after_cooking","p_surv_larva","p_ill"
1,1,"shoulder",625,35,7,14,0,13,0,8,8,0.0136617390951791,0.00210677494983591
1,1,"shoulder",625,35,31,20,0,18,0,12,12,0.0715030220057671,0.0996571575308101
1,1,"belly",1604,54,15,28,0,26,0,17,17,0.00127355816449233,9.17655730345857e-05
1,1,"belly",1604,54,22,40,0,36,0,23,23,0.122415780528092,0.499306330578968
1,1,"belly",1604,54,28,31,0,28,0,18,18,0.000171616637497058,1.89000646266813e-06
1,1,"belly",1604,54,32,28,0,26,0,17,17,0.0405459551537678,0.0696669314119733
1,1,"belly",1604,54,36,32,0,29,0,19,19,0.0668122519933513,0.185630447673962
1,1,"belly",1604,54,44,30,0,27,0,17,17,0.0832292598709349,0.21722810461454
1,1,"belly",1604,54,51,25,0,23,0,15,15,0.807955706203808,0.984446890706869
1,1,"belly",1604,54,52,26,0,24,0,15,15,0.000366071572643315,5.89572659470683e-06
1,1,"loin",1116,144,1,11,0,10,0,6,6,1.38200388478699e-12,0
1,1,"loin",1116,144,12,10,0,9,0,6,6,5.34743933491365e-05,1.80129910987148e-08
1,1,"loin",1116,144,43,11,0,10,0,6,6,0.0225944895333412,0.00307379121400464
1,1,"loin",1116,144,44,10,0,9,0,6,6,0.0358099215929431,0.00751845802223206
1,1,"loin",1116,144,46,7,0,6,0,4,4,0.214089520500358,0.0923539902641308
1,1,"loin",1116,144,50,10,0,9,0,6,6,3.0648700246773e-37,0
1,1,"loin",1116,144,55,10,0,9,0,6,6,0.159239170045975,0.115628668156186
1,1,"loin",1116,144,69,10,0,9,0,6,6,0.0737408849944827,0.0295279859855709
1,1,"loin",1116,144,70,7,0,6,0,4,4,1.16560251393488e-31,0
1,1,"loin",1116,144,75,10,0,9,0,6,6,0.162642303318325,0.119782729458828
1,1,"loin",1116,144,76,7,0,6,0,4,4,0.289317058420769,0.155175324215408
1,1,"loin",1116,144,85,7,0,6,0,4,4,0.433545378086271,0.294869483726558
1,1,"loin",1116,144,124,5,0,5,0,3,3,0.14132671323432,0.0233879482640493
1,1,"loin",1116,144,128,7,0,6,0,4,4,0.0963570039012715,0.0212076821161437
1,1,"loin",1116,144,139,7,0,6,0,4,4,0.0228315650435036,0.00128383865294168
1,1,"loin",1116,144,143,7,0,6,0,4,4,5.72751485814673e-313,0
1,1,"ham",1302,121,2,13,0,12,0,8,8,1.14303214579298e-16,0
1,1,"ham",1302,121,10,5,0,5,0,3,3,0.0355535289843404,0.00156439413046949
1,1,"ham",1302,121,20,9,0,8,0,5,5,0.0118394303279877,0.000578341313765662
1,1,"ham",1302,121,36,13,0,12,0,8,8,2.49009547748627e-172,0
1,1,"ham",1302,121,49,10,0,9,0,6,6,0.00112058692181511,7.89329264683225e-06
1,1,"ham",1302,121,53,9,0,8,0,5,5,6.31021100429225e-29,0
1,1,"ham",1302,121,63,12,0,11,0,7,7,0.000160493017965501,2.27094500981906e-07
1,1,"ham",1302,121,67,9,0,8,0,5,5,0.0364174455814371,0.00527244905785207
