"part","simulation","n_portions_total","n_portions_zero","p_ill_given_exposure","p_exposure","p_ill","n_portions_nonzero","p_falseneg_batch","p_positive_carc"
"belly",1,54,46,0.39214668142375,0.148148148148148,0.0580958046553704,8,3.49663578181524e-06,0.01
"belly",1,54,46,0.39214668142375,0.148148148148148,0.0580958046553704,8,3.49663578181524e-06,0.01
"belly",2,54,48,0.300720579508457,0.111111111111111,0.0334133977231619,6,5.24495367272286e-06,0.01
"belly",3,54,0,0.25174604627483,1,0.25174604627483,54,9.61574839999192e-06,0.01
"belly",4,54,50,0.249035708520232,0.0740740740740741,0.0184470895200172,4,8.74158945453811e-06,0.01
"belly",5,54,49,0.206058897917802,0.0925925925925926,0.0190795275849816,5,4.37079472726905e-06,0.01
"belly",6,54,49,0.311019593824132,0.0925925925925926,0.0287981105392714,5,6.99327156363048e-06,0.01
"belly",7,54,52,0.280576073230787,0.0370370370370371,0.0103917064159551,2,6.11911261817667e-06,0.01
"belly",8,54,50,0.344601299322912,0.0740740740740741,0.0255260221720676,4,6.99327156363048e-06,0.01
"belly",9,54,53,0.371383651931548,0.0185185185185185,0.0068774750357694,1,5.24495367272286e-06,0.01
"belly",10,54,48,0.295859895019264,0.111111111111111,0.0328733216688072,6,9.61574839999192e-06,0.01
"ham",1,121,106,0.232425691118579,0.12396694214876,0.0288131022047826,15,3.49663578181524e-06,0.01
"ham",1,121,106,0.232425691118579,0.12396694214876,0.0288131022047826,15,3.49663578181524e-06,0.01
"ham",2,121,112,0.220230824309455,0.0743801652892562,0.0163808051139264,9,5.24495367272286e-06,0.01
"ham",3,121,110,0.213164020611067,0.0909090909090909,0.0193785473282788,11,9.61574839999192e-06,0.01
"ham",4,121,109,0.313362416415104,0.0991735537190083,0.0310772644378616,12,8.74158945453811e-06,0.01
"ham",5,121,109,0.0972813948286087,0.0991735537190083,0.00964774163589508,12,4.37079472726905e-06,0.01
"ham",6,121,111,0.208649010645987,0.0826446280991735,0.0172437198880981,10,6.99327156363048e-06,0.01
"ham",7,121,112,0.183702146307241,0.0743801652892562,0.0136637960063237,9,6.11911261817667e-06,0.01
"ham",8,121,115,0.240705571808769,0.0495867768595041,0.0119358134781208,6,6.99327156363048e-06,0.01
"ham",9,121,109,0.227688561738541,0.0991735537190083,0.0225806838087809,12,5.24495367272286e-06,0.01
"ham",10,121,111,0.228350452675483,0.0826446280991735,0.0188719382376432,10,9.61574839999192e-06,0.01
"loin",1,144,128,0.184789503074474,0.111111111111111,0.0205321670082749,16,3.49663578181524e-06,0.01
"loin",1,144,128,0.184789503074474,0.111111111111111,0.0205321670082749,16,3.49663578181524e-06,0.01
"loin",2,144,125,0.174101998080314,0.131944444444444,0.0229717914133748,19,5.24495367272286e-06,0.01
"loin",3,144,126,0.207862543805724,0.125,0.0259828179757155,18,9.61574839999192e-06,0.01
"loin",4,144,132,0.293335930235621,0.0833333333333334,0.0244446608529684,12,8.74158945453811e-06,0.01
"loin",5,144,124,0.0771460959782747,0.138888888888889,0.0107147355525381,20,4.37079472726905e-06,0.01
"loin",6,144,125,0.205934351417843,0.131944444444444,0.0271718935898543,19,6.99327156363048e-06,0.01
"loin",7,144,126,0.157265765216147,0.125,0.0196582206520183,18,6.11911261817667e-06,0.01
"loin",8,144,129,0.223325751225433,0.104166666666667,0.0232630990859826,15,6.99327156363048e-06,0.01
"loin",9,144,129,0.185888544099118,0.104166666666667,0.0193633900103248,15,5.24495367272286e-06,0.01
"loin",10,144,131,0.185958771433583,0.0902777777777778,0.0167879446433096,13,9.61574839999192e-06,0.01
"other",1,48,44,0.199696203036802,0.0833333333333334,0.0166413502530668,4,3.49663578181524e-06,0.01
"other",1,48,44,0.199696203036802,0.0833333333333334,0.0166413502530668,4,3.49663578181524e-06,0.01
"other",2,48,0,0.197113019304318,1,0.197113019304318,48,5.24495367272286e-06,0.01
"other",3,48,0,0.372668576407588,1,0.372668576407588,48,9.61574839999192e-06,0.01
"other",4,48,42,0.325145587964034,0.125,0.0406431984955043,6,8.74158945453811e-06,0.01
"other",5,48,45,0.368662326993664,0.0625,0.023041395437104,3,4.37079472726905e-06,0.01
"other",6,48,45,0.176020534559758,0.0625,0.0110012834099849,3,6.99327156363048e-06,0.01
"other",7,48,42,0.463301880719493,0.125,0.0579127350899366,6,6.11911261817667e-06,0.01
"other",8,48,36,0.435117431564225,0.25,0.108779357891056,12,6.99327156363048e-06,0.01
"other",9,48,44,0.185595187049718,0.0833333333333334,0.0154662655874765,4,5.24495367272286e-06,0.01
"other",10,48,46,0.272149548917409,0.0416666666666666,0.0113395645382254,2,9.61574839999192e-06,0.01
"shoulder",1,35,33,0.275378732200784,0.0571428571428572,0.0157359275543305,2,3.49663578181524e-06,0.01
"shoulder",1,35,33,0.275378732200784,0.0571428571428572,0.0157359275543305,2,3.49663578181524e-06,0.01
"shoulder",2,35,34,0.235776319678033,0.0285714285714286,0.00673646627651524,1,5.24495367272286e-06,0.01
"shoulder",3,35,30,0.258985215632548,0.142857142857143,0.0369978879475068,5,9.61574839999192e-06,0.01
"shoulder",4,35,29,0.346463719451126,0.171428571428571,0.0593937804773359,6,8.74158945453811e-06,0.01
"shoulder",5,35,31,0.112918754630226,0.114285714285714,0.0129050005291686,4,4.37079472726905e-06,0.01
"shoulder",6,35,27,0.362743572981409,0.228571428571429,0.0829128166814649,8,6.99327156363048e-06,0.01
"shoulder",7,35,34,0.236216112398897,0.0285714285714286,0.00674903178282563,1,6.11911261817667e-06,0.01
"shoulder",8,35,30,0.298185093769567,0.142857142857143,0.0425978705385096,5,6.99327156363048e-06,0.01
"shoulder",9,35,32,0.294257576798738,0.0857142857142857,0.0252220780113204,3,5.24495367272286e-06,0.01
"shoulder",10,35,29,0.253579809895282,0.171428571428571,0.0434708245534769,6,9.61574839999192e-06,0.01
