"simulation","nSwine","n.falseneg","p.falseneg","n.zeros","n.nzeros","p.carc"
1,114395672,400,3.49663578181524e-06,396,4,0.01
1,114395672,400,3.49663578181524e-06,396,4,0.01
2,114395672,600,5.24495367272286e-06,594,6,0.01
3,114395672,1100,9.61574839999192e-06,1089,11,0.01
4,114395672,1000,8.74158945453811e-06,990,10,0.01
5,114395672,500,4.37079472726905e-06,495,5,0.01
6,114395672,800,6.99327156363048e-06,792,8,0.01
7,114395672,700,6.11911261817667e-06,693,7,0.01
8,114395672,800,6.99327156363048e-06,792,8,0.01
9,114395672,600,5.24495367272286e-06,594,6,0.01
10,114395672,1100,9.61574839999192e-06,1089,11,0.01
