-7.3e-15,0.0077,0.021,0.038,0.059,0.081,0.1,0.13,0.15,0.18,0.2,0.23,0.25,0.27,0.3,0.32,0.34,0.36,0.38,0.4,0.42,0.44,0.46,0.47,0.49,0.5,0.52,0.53,0.55,0.56,0.57,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.71,0.72,0.73,0.74,0.74,0.75,0.76,0.76,0.77,0.77,0.78,0.78,0.79,0.79,0.8,0.81,0.82,0.82,0.83,0.83,0.83,0.84,0.84,0.85,0.85,0.85,0.86,0.86,0.86,0.87,0.87,0.87,0.87,0.88,0.88,0.88,0.88,0.89,0.89,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
2.3e-14,0.18,0.36,0.51,0.62,0.7,0.77,0.82,0.85,0.88,0.91,0.92,0.94,0.95,0.96,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
4.6e-14,0.000019,0.000056,0.00011,0.00018,0.00027,0.00038,0.0005,0.00064,0.00079,0.00096,0.0011,0.0013,0.0016,0.0018,0.002,0.0023,0.0025,0.0028,0.0031,0.0034,0.0037,0.004,0.0044,0.0047,0.0051,0.0054,0.0058,0.0062,0.0066,0.007,0.0074,0.0078,0.0083,0.0087,0.0092,0.0096,0.01,0.011,0.011,0.012,0.012,0.013,0.013,0.014,0.014,0.015,0.015,0.016,0.016,0.017,0.017,0.018,0.018,0.019,0.02,0.02,0.021,0.021,0.022,0.023,0.024,0.024,0.025,0.025,0.026,0.027,0.027,0.028,0.029,0.029,0.03,0.031,0.031,0.032,0.033,0.033,0.034,0.035,0.035,0.036,0.037,0.037,0.038,0.039,0.039,0.04,0.041,0.041,0.042,0.043,0.043,0.044,0.045,0.046,0.046,0.047,0.048,0.048,0.049,0.05,0.051,0.051,0.052,0.053,0.053,0.054,0.055,0.056,0.056,0.057,0.058,0.059,0.059,0.06,0.061,0.061,0.062,0.063,0.064,0.064,0.065,0.066,0.067,0.067,0.068,0.069,0.07,0.07,0.071,0.072,0.073,0.073,0.074,0.075,0.076,0.076,0.077,0.078,0.079,0.079,0.08,0.081,0.081,0.082,0.083,0.084,0.084,0.085,0.086,0.087,0.087,0.088,0.089,0.09,0.09,0.091,0.092,0.093,0.093,0.094,0.095,0.096,0.096,0.097,0.098,0.099,0.099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
0,0.0062,0.014,0.022,0.031,0.038,0.046,0.053,0.059,0.065,0.071,0.077,0.082,0.087,0.091,0.096,0.1,0.1,0.11,0.11,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
0,0.00012,0.0003,0.00049,0.00069,0.00089,0.0011,0.0013,0.0015,0.0017,0.0018,0.002,0.0022,0.0023,0.0025,0.0026,0.0028,0.0029,0.003,0.0032,0.0033,0.0034,0.0035,0.0037,0.0038,0.0039,0.004,0.0041,0.0042,0.0043,0.0044,0.0045,0.0046,0.0046,0.0047,0.0048,0.0049,0.005,0.0051,0.0051,0.0052,0.0053,0.0054,0.0054,0.0055,0.0056,0.0057,0.0057,0.0058,0.0059,0.0059,0.006,0.006,0.0061,0.0062,0.0062,0.0063,0.0063,0.0064,0.0065,0.0066,0.0066,0.0067,0.0067,0.0068,0.0068,0.0069,0.0069,0.007,0.007,0.0071,0.0071,0.0072,0.0072,0.0073,0.0073,0.0073,0.0074,0.0074,0.0075,0.0075,0.0076,0.0076,0.0076,0.0077,0.0077,0.0078,0.0078,0.0078,0.0079,0.0079,0.0079,0.008,0.008,0.0081,0.0081,0.0081,0.0082,0.0082,0.0082,0.0083,0.0083,0.0083,0.0084,0.0084,0.0084,0.0085,0.0085,0.0085,0.0086,0.0086,0.0086,0.0087,0.0087,0.0087,0.0088,0.0088,0.0088,0.0088,0.0089,0.0089,0.0089,0.009,0.009,0.009,0.009,0.0091,0.0091,0.0091,0.0092,0.0092,0.0092,0.0092,0.0093,0.0093,0.0093,0.0093,0.0094,0.0094,0.0094,0.0094,0.0095,0.0095,0.0095,0.0095,0.0096,0.0096,0.0096,0.0096,0.0097,0.0097,0.0097,0.0097,0.0098,0.0098,0.0098,0.0098,0.0098,0.0099,0.0099,0.0099,0.0099,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
4.2e-13,0.37,0.59,0.72,0.81,0.86,0.9,0.93,0.95,0.96,0.97,0.98,0.99,0.99,0.99,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
3.8e-15,0.01,0.027,0.047,0.07,0.093,0.12,0.14,0.16,0.19,0.21,0.23,0.25,0.27,0.29,0.31,0.33,0.35,0.36,0.38,0.39,0.41,0.42,0.44,0.45,0.46,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.58,0.59,0.6,0.61,0.61,0.62,0.63,0.63,0.64,0.65,0.65,0.66,0.66,0.67,0.67,0.68,0.69,0.69,0.69,0.7,0.7,0.71,0.72,0.72,0.73,0.73,0.74,0.74,0.74,0.75,0.75,0.75,0.76,0.76,0.76,0.77,0.77,0.77,0.77,0.78,0.78,0.78,0.79,0.79,0.79,0.79,0.8,0.8,0.8,0.8,0.8,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.83,0.83,0.83,0.83,0.83,0.83,0.84,0.84,0.84,0.84,0.84,0.84,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
-5.3e-11,0.00011,0.00032,0.00064,0.0011,0.0016,0.0022,0.0029,0.0037,0.0046,0.0056,0.0066,0.0078,0.009,0.01,0.012,0.013,0.015,0.016,0.018,0.02,0.021,0.023,0.025,0.027,0.029,0.031,0.033,0.036,0.038,0.04,0.043,0.045,0.047,0.05,0.052,0.055,0.058,0.06,0.063,0.066,0.068,0.071,0.074,0.077,0.08,0.083,0.086,0.089,0.092,0.095,0.098,0.1,0.1,0.11,0.11,0.11,0.12,0.12,0.12,0.13,0.13,0.13,0.14,0.14,0.14,0.15,0.15,0.15,0.16,0.16,0.16,0.17,0.17,0.18,0.18,0.18,0.19,0.19,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.22,0.22,0.22,0.23,0.23,0.23,0.24,0.24,0.24,0.25,0.25,0.25,0.26,0.26,0.26,0.27,0.27,0.27,0.28,0.28,0.28,0.29,0.29,0.3,0.3,0.3,0.31,0.31,0.31,0.32,0.32,0.32,0.33,0.33,0.33,0.34,0.34,0.34,0.34,0.35,0.35,0.35,0.36,0.36,0.36,0.37,0.37,0.37,0.38,0.38,0.38,0.39,0.39,0.39,0.4,0.4,0.4,0.4,0.41,0.41,0.41,0.42,0.42,0.42,0.43,0.43,0.43,0.43,0.44,0.44,0.44,0.45,0.45,0.45,0.45,0.46,0.46,0.46,0.47,0.47,0.47,0.47,0.48,0.48,0.48,0.49,0.49,0.49,0.49,0.5,0.5,0.5,0.5,0.51,0.51,0.51,0.51,0.52,0.52,0.52,0.52,0.53,0.53,0.53,0.53,0.54,0.54,0.54,0.54,0.55,0.55,0.55,0.55,0.56
-2.2e-16,0.00007,0.00015,0.00022,0.00028,0.00034,0.00039,0.00044,0.00048,0.00052,0.00056,0.00059,0.00063,0.00066,0.00069,0.00071,0.00074,0.00076,0.00078,0.00081,0.00083,0.00085,0.00087,0.00088,0.0009,0.00092,0.00094,0.00095,0.00097,0.00098,0.001,0.001,0.001,0.001,0.001,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018
-5.3e-15,0.00051,0.0014,0.0027,0.0043,0.0061,0.0081,0.01,0.013,0.015,0.018,0.02,0.023,0.026,0.028,0.031,0.034,0.037,0.04,0.043,0.045,0.048,0.051,0.054,0.057,0.06,0.063,0.065,0.068,0.071,0.074,0.076,0.079,0.082,0.085,0.087,0.09,0.092,0.095,0.098,0.1,0.1,0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.33,0.33,0.33,0.33
